GENE	QUES	P	CARRIER_1	CARRIER_0	NONCARRIER_1	NONCARRIER_0
KRTAP3-2	q01_phrases	1	8	0	3727	115
KRTAP3-2	q02_conversation	0.2368816	7	1	3579	117
KRTAP3-2	q03_odd_phrase	0.1224388	3	5	566	3128
KRTAP3-2	q04_inappropriate_question	1	1	7	555	3144
KRTAP3-2	q05_pronouns_mixed	0.4162919	3	5	861	2835
KRTAP3-2	q06_invented_words	0.6131934	2	6	609	3086
KRTAP3-2	q07_same_over	0.151924	2	6	336	3358
KRTAP3-2	q08_particular_way	0.6206897	2	6	540	3294
KRTAP3-2	q09_expressions_appropriate	0.2213893	8	0	2947	889
KRTAP3-2	q10_hand_tool	0.103948	3	5	563	3272
KRTAP3-2	q11_interest_preoccupy	1	0	8	231	3603
KRTAP3-2	q12_parts_object	0.6606697	0	8	252	3588
KRTAP3-2	q13_interests_intensity	1	1	7	520	3316
KRTAP3-2	q14_senses	1	1	7	310	3523
KRTAP3-2	q15_odd_ways	1	0	8	232	3605
KRTAP3-2	q16_complicated_movements	1	1	7	343	3492
KRTAP3-2	q17_injured_deliberately	1	1	7	295	3538
KRTAP3-2	q18_objects_carry	0.6181909	0	8	372	3462
KRTAP3-2	q19_best_friend	0.07296352	4	4	3037	807
KRTAP3-2	q20_talk_friendly	0.6716642	8	0	3573	255
KRTAP3-2	q21_copy_you	1	7	1	3281	553
KRTAP3-2	q22_point_things	1	7	1	3429	397
KRTAP3-2	q23_gestures_wanted	0.3878061	5	3	2911	920
KRTAP3-2	q24_nod_head	1	7	1	3570	258
KRTAP3-2	q25_shake_head	0.3958021	7	1	3600	232
KRTAP3-2	q26_look_directly	1	8	0	3651	172
KRTAP3-2	q27_smile_back	0.2063968	7	1	3725	101
KRTAP3-2	q28_things_interested	1	8	0	3751	73
KRTAP3-2	q29_share	0.3453273	7	1	3622	203
KRTAP3-2	q30_join_enjoyment	1	8	0	3722	88
KRTAP3-2	q31_comfort	1	7	1	3567	252
KRTAP3-2	q32_help_attention	1	8	0	3654	164
KRTAP3-2	q33_range_expressions	1	8	0	3755	63
KRTAP3-2	q34_copy_actions	0.4087956	7	1	3586	238
KRTAP3-2	q35_make_believe	0.3588206	7	1	3620	197
KRTAP3-2	q36_same_age	1	8	0	3612	213
KRTAP3-2	q37_respond_positively	1	8	0	3656	167
KRTAP3-2	q38_pay_attention	0.3778111	7	1	3604	213
KRTAP3-2	q39_imaginative_games	0.02898551	5	3	3481	341
KRTAP3-2	q40_cooperatively_games	1	7	1	3584	245
GUSB	q01_phrases	1	12	0	3723	115
GUSB	q02_conversation	1	12	0	3574	118
GUSB	q03_odd_phrase	0.2458771	0	12	569	3121
GUSB	q04_inappropriate_question	1	2	10	554	3141
GUSB	q05_pronouns_mixed	1	3	9	861	2831
GUSB	q06_invented_words	0.7046477	1	11	610	3081
GUSB	q07_same_over	1	1	11	337	3353
GUSB	q08_particular_way	0.2398801	0	12	542	3288
GUSB	q09_expressions_appropriate	0.08945527	12	0	2943	889
GUSB	q10_hand_tool	0.7011494	1	11	565	3266
GUSB	q11_interest_preoccupy	0.6526737	0	12	231	3599
GUSB	q12_parts_object	1	1	11	251	3585
GUSB	q13_interests_intensity	0.3728136	3	9	518	3314
GUSB	q14_senses	0.2483758	2	10	309	3520
GUSB	q15_odd_ways	1	1	11	231	3602
GUSB	q16_complicated_movements	1	1	11	343	3488
GUSB	q17_injured_deliberately	1	1	11	295	3534
GUSB	q18_objects_carry	1	1	11	371	3459
GUSB	q19_best_friend	0.3528236	11	1	3030	810
GUSB	q20_talk_friendly	1	11	1	3570	254
GUSB	q21_copy_you	0.7041479	11	1	3277	553
GUSB	q22_point_things	1	11	1	3425	397
GUSB	q23_gestures_wanted	0.3183408	11	1	2905	922
GUSB	q24_nod_head	0.6186907	12	0	3565	259
GUSB	q25_shake_head	0.6196902	12	0	3595	233
GUSB	q26_look_directly	1	11	1	3648	171
GUSB	q27_smile_back	1	12	0	3720	102
GUSB	q28_things_interested	1	12	0	3747	73
GUSB	q29_share	1	11	1	3618	203
GUSB	q30_join_enjoyment	0.2513743	11	1	3719	87
GUSB	q31_comfort	0.6206897	12	0	3562	253
GUSB	q32_help_attention	0.6811594	12	0	3650	164
GUSB	q33_range_expressions	1	12	0	3751	63
GUSB	q34_copy_actions	1	11	1	3582	238
GUSB	q35_make_believe	1	11	1	3616	197
GUSB	q36_same_age	0.6681659	12	0	3608	213
GUSB	q37_respond_positively	1	11	1	3653	166
GUSB	q38_pay_attention	0.6441779	12	0	3599	214
GUSB	q39_imaginative_games	0.6111944	10	2	3476	342
GUSB	q40_cooperatively_games	1	11	1	3580	245
RFPL4AL1	q01_phrases	1	12	0	3723	115
RFPL4AL1	q02_conversation	1	12	0	3574	118
RFPL4AL1	q03_odd_phrase	0.7006497	1	11	568	3122
RFPL4AL1	q04_inappropriate_question	0.2308846	0	12	556	3139
RFPL4AL1	q05_pronouns_mixed	0.1789105	5	7	859	2833
RFPL4AL1	q06_invented_words	0.7031484	1	11	610	3081
RFPL4AL1	q07_same_over	1	1	11	337	3353
RFPL4AL1	q08_particular_way	0.7146427	1	10	541	3290
RFPL4AL1	q09_expressions_appropriate	0.7481259	10	2	2945	887
RFPL4AL1	q10_hand_tool	0.2483758	0	12	566	3265
RFPL4AL1	q11_interest_preoccupy	0.6426787	0	12	231	3599
RFPL4AL1	q12_parts_object	1	1	11	251	3585
RFPL4AL1	q13_interests_intensity	1	2	10	519	3313
RFPL4AL1	q14_senses	0.6261869	0	12	311	3518
RFPL4AL1	q15_odd_ways	1	1	11	231	3602
RFPL4AL1	q16_complicated_movements	0.3968016	0	12	344	3487
RFPL4AL1	q17_injured_deliberately	1	1	11	295	3534
RFPL4AL1	q18_objects_carry	1	1	11	371	3459
RFPL4AL1	q19_best_friend	0.08145927	12	0	3029	811
RFPL4AL1	q20_talk_friendly	0.6591704	12	0	3569	255
RFPL4AL1	q21_copy_you	0.4147926	9	3	3279	551
RFPL4AL1	q22_point_things	1	11	1	3425	397
RFPL4AL1	q23_gestures_wanted	1	9	3	2907	920
RFPL4AL1	q24_nod_head	0.6251874	12	0	3565	259
RFPL4AL1	q25_shake_head	0.6191904	12	0	3595	233
RFPL4AL1	q26_look_directly	0.6766617	12	0	3647	172
RFPL4AL1	q27_smile_back	1	12	0	3720	102
RFPL4AL1	q28_things_interested	1	12	0	3747	73
RFPL4AL1	q29_share	0.6531734	12	0	3617	204
RFPL4AL1	q30_join_enjoyment	1	12	0	3718	88
RFPL4AL1	q31_comfort	0.1754123	10	2	3564	251
RFPL4AL1	q32_help_attention	0.6746627	12	0	3650	164
RFPL4AL1	q33_range_expressions	1	12	0	3751	63
RFPL4AL1	q34_copy_actions	0.163918	10	2	3583	237
RFPL4AL1	q35_make_believe	1	11	1	3616	197
RFPL4AL1	q36_same_age	0.6411794	12	0	3608	213
RFPL4AL1	q37_respond_positively	0.6636682	12	0	3652	167
RFPL4AL1	q38_pay_attention	1	11	1	3600	213
RFPL4AL1	q39_imaginative_games	1	11	1	3475	343
RFPL4AL1	q40_cooperatively_games	1	11	1	3580	245
PEX14	q01_phrases	0.1354323	20	2	3715	113
PEX14	q02_conversation	0.6451774	20	0	3566	118
PEX14	q03_odd_phrase	0.7651174	4	16	565	3117
PEX14	q04_inappropriate_question	0.7556222	2	18	554	3133
PEX14	q05_pronouns_mixed	0.8015992	4	16	860	2824
PEX14	q06_invented_words	0.2413793	1	19	610	3073
PEX14	q07_same_over	1	2	18	336	3346
PEX14	q08_particular_way	0.3523238	1	20	541	3280
PEX14	q09_expressions_appropriate	0.8085957	16	6	2939	883
PEX14	q10_hand_tool	0.7516242	4	18	562	3259
PEX14	q11_interest_preoccupy	1	1	21	230	3590
PEX14	q12_parts_object	1	1	21	251	3575
PEX14	q13_interests_intensity	1	3	19	518	3304
PEX14	q14_senses	1	2	20	309	3510
PEX14	q15_odd_ways	1	1	21	231	3592
PEX14	q16_complicated_movements	0.7121439	1	21	343	3478
PEX14	q17_injured_deliberately	0.7226387	1	21	295	3524
PEX14	q18_objects_carry	0.5197401	1	21	371	3449
PEX14	q19_best_friend	0.5937031	16	6	3025	805
PEX14	q20_talk_friendly	1	21	1	3560	254
PEX14	q21_copy_you	0.2438781	21	1	3267	553
PEX14	q22_point_things	1	20	2	3416	396
PEX14	q23_gestures_wanted	0.6331834	18	4	2898	919
PEX14	q24_nod_head	0.3988006	22	0	3555	259
PEX14	q25_shake_head	0.4012994	22	0	3585	233
PEX14	q26_look_directly	0.6166917	21	0	3638	172
PEX14	q27_smile_back	0.6711644	22	0	3710	102
PEX14	q28_things_interested	1	22	0	3737	73
PEX14	q29_share	0.4207896	22	0	3607	204
PEX14	q30_join_enjoyment	0.6981509	22	0	3708	88
PEX14	q31_comfort	1	20	1	3554	252
PEX14	q32_help_attention	0.6271864	22	0	3640	164
PEX14	q33_range_expressions	1	22	0	3741	63
PEX14	q34_copy_actions	0.3978011	22	0	3571	239
PEX14	q35_make_believe	0.4062969	22	0	3605	198
PEX14	q36_same_age	1	21	1	3599	212
PEX14	q37_respond_positively	0.6071964	22	0	3642	167
PEX14	q38_pay_attention	0.4067966	22	0	3589	214
PEX14	q39_imaginative_games	0.2598701	22	0	3464	344
PEX14	q40_cooperatively_games	0.3913043	22	0	3569	246
C20orf141	q01_phrases	0.6731634	22	0	3713	115
C20orf141	q02_conversation	0.6341829	22	0	3564	118
C20orf141	q03_odd_phrase	0.2518741	1	21	568	3112
C20orf141	q04_inappropriate_question	0.2533733	1	21	555	3130
C20orf141	q05_pronouns_mixed	0.3278361	3	19	861	2821
C20orf141	q06_invented_words	0.7936032	3	19	608	3073
C20orf141	q07_same_over	1	2	20	336	3344
C20orf141	q08_particular_way	1	3	19	539	3281
C20orf141	q09_expressions_appropriate	0.3073463	19	3	2936	886
C20orf141	q10_hand_tool	0.5637181	2	20	564	3257
C20orf141	q11_interest_preoccupy	1	1	21	230	3590
C20orf141	q12_parts_object	1	1	21	251	3575
C20orf141	q13_interests_intensity	0.3618191	1	21	520	3302
C20orf141	q14_senses	0.7161419	1	20	310	3510
C20orf141	q15_odd_ways	0.4022989	0	22	232	3591
C20orf141	q16_complicated_movements	0.7231384	1	21	343	3478
C20orf141	q17_injured_deliberately	0.7356322	1	21	295	3524
C20orf141	q18_objects_carry	0.1794103	0	22	372	3448
C20orf141	q19_best_friend	1	17	5	3024	806
C20orf141	q20_talk_friendly	0.4062969	22	0	3559	255
C20orf141	q21_copy_you	1	19	3	3269	551
C20orf141	q22_point_things	0.5257371	21	1	3415	397
C20orf141	q23_gestures_wanted	1	17	5	2899	918
C20orf141	q24_nod_head	0.3983008	22	0	3555	259
C20orf141	q25_shake_head	1	20	1	3587	232
C20orf141	q26_look_directly	1	20	1	3639	171
C20orf141	q27_smile_back	0.6756622	22	0	3710	102
C20orf141	q28_things_interested	1	22	0	3737	73
C20orf141	q29_share	0.4092954	22	0	3607	204
C20orf141	q30_join_enjoyment	0.6736632	22	0	3708	88
C20orf141	q31_comfort	0.3973013	22	0	3552	253
C20orf141	q32_help_attention	1	21	1	3641	163
C20orf141	q33_range_expressions	1	22	0	3741	63
C20orf141	q34_copy_actions	1	21	1	3572	238
C20orf141	q35_make_believe	0.4117941	22	0	3605	198
C20orf141	q36_same_age	1	21	1	3599	212
C20orf141	q37_respond_positively	0.6121939	22	0	3642	167
C20orf141	q38_pay_attention	0.4137931	22	0	3589	214
C20orf141	q39_imaginative_games	0.7186407	21	1	3465	343
C20orf141	q40_cooperatively_games	1	21	1	3570	245
PITX3	q01_phrases	1	4	0	3731	115
PITX3	q02_conversation	1	4	0	3582	118
PITX3	q03_odd_phrase	1	1	3	568	3130
PITX3	q04_inappropriate_question	0.1229385	2	2	554	3149
PITX3	q05_pronouns_mixed	0.2448776	2	2	862	2838
PITX3	q06_invented_words	0.1249375	2	2	609	3090
PITX3	q07_same_over	1	0	4	338	3360
PITX3	q08_particular_way	1	1	3	541	3297
PITX3	q09_expressions_appropriate	1	3	1	2952	888
PITX3	q10_hand_tool	1	1	3	565	3274
PITX3	q11_interest_preoccupy	1	0	4	231	3607
PITX3	q12_parts_object	0.2453773	1	3	251	3593
PITX3	q13_interests_intensity	0.09245377	2	2	519	3321
PITX3	q14_senses	1	0	4	311	3526
PITX3	q15_odd_ways	1	0	4	232	3609
PITX3	q16_complicated_movements	1	0	4	344	3495
PITX3	q17_injured_deliberately	1	0	4	296	3541
PITX3	q18_objects_carry	0.3398301	1	3	371	3467
PITX3	q19_best_friend	0.5982009	4	0	3037	811
PITX3	q20_talk_friendly	1	4	0	3577	255
PITX3	q21_copy_you	0.6391804	4	0	3284	554
PITX3	q22_point_things	1	4	0	3432	398
PITX3	q23_gestures_wanted	0.2428786	2	2	2914	921
PITX3	q24_nod_head	1	4	0	3573	259
PITX3	q25_shake_head	1	4	0	3603	233
PITX3	q26_look_directly	1	4	0	3655	172
PITX3	q27_smile_back	1	4	0	3728	102
PITX3	q28_things_interested	1	4	0	3755	73
PITX3	q29_share	1	4	0	3625	204
PITX3	q30_join_enjoyment	1	4	0	3726	88
PITX3	q31_comfort	1	4	0	3570	253
PITX3	q32_help_attention	0.171914	3	1	3659	163
PITX3	q33_range_expressions	1	4	0	3759	63
PITX3	q34_copy_actions	1	4	0	3589	239
PITX3	q35_make_believe	1	4	0	3623	198
PITX3	q36_same_age	1	4	0	3616	213
PITX3	q37_respond_positively	1	4	0	3660	167
PITX3	q38_pay_attention	1	4	0	3607	214
PITX3	q39_imaginative_games	1	4	0	3482	344
PITX3	q40_cooperatively_games	1	4	0	3587	246
KNSTRN	q01_phrases	0.6846577	18	0	3717	115
KNSTRN	q02_conversation	0.6891554	18	0	3568	118
KNSTRN	q03_odd_phrase	1	3	15	566	3118
KNSTRN	q04_inappropriate_question	0.7611194	2	16	554	3135
KNSTRN	q05_pronouns_mixed	0.7801099	5	13	859	2827
KNSTRN	q06_invented_words	1	3	15	608	3077
KNSTRN	q07_same_over	0.7146427	1	17	337	3347
KNSTRN	q08_particular_way	1	3	15	539	3285
KNSTRN	q09_expressions_appropriate	0.6056972	15	3	2940	886
KNSTRN	q10_hand_tool	1	3	15	563	3262
KNSTRN	q11_interest_preoccupy	0.4297851	0	18	231	3593
KNSTRN	q12_parts_object	0.3968016	0	18	252	3578
KNSTRN	q13_interests_intensity	0.5047476	1	17	520	3306
KNSTRN	q14_senses	0.6346827	2	16	309	3514
KNSTRN	q15_odd_ways	1	1	17	231	3596
KNSTRN	q16_complicated_movements	1	2	16	342	3483
KNSTRN	q17_injured_deliberately	0.4032984	0	18	296	3527
KNSTRN	q18_objects_carry	0.2508746	0	18	372	3452
KNSTRN	q19_best_friend	0.7726137	15	3	3026	808
KNSTRN	q20_talk_friendly	0.4162919	18	0	3563	255
KNSTRN	q21_copy_you	0.7711144	16	2	3272	552
KNSTRN	q22_point_things	0.7081459	17	1	3419	397
KNSTRN	q23_gestures_wanted	1	14	4	2902	919
KNSTRN	q24_nod_head	0.3923038	18	0	3559	259
KNSTRN	q25_shake_head	1	17	1	3590	232
KNSTRN	q26_look_directly	0.6211894	18	0	3641	172
KNSTRN	q27_smile_back	1	18	0	3714	102
KNSTRN	q28_things_interested	1	18	0	3741	73
KNSTRN	q29_share	1	17	1	3612	203
KNSTRN	q30_join_enjoyment	1	18	0	3712	88
KNSTRN	q31_comfort	0.4112944	18	0	3556	253
KNSTRN	q32_help_attention	1	17	1	3645	163
KNSTRN	q33_range_expressions	1	18	0	3745	63
KNSTRN	q34_copy_actions	0.3913043	18	0	3575	239
KNSTRN	q35_make_believe	0.6206897	18	0	3609	198
KNSTRN	q36_same_age	0.4082959	18	0	3602	213
KNSTRN	q37_respond_positively	0.6376812	18	0	3646	167
KNSTRN	q38_pay_attention	0.4342829	18	0	3593	214
KNSTRN	q39_imaginative_games	0.7281359	17	1	3469	343
KNSTRN	q40_cooperatively_games	0.3828086	18	0	3573	246
SLC35A3	q01_phrases	1	5	0	3730	115
SLC35A3	q02_conversation	1	5	0	3581	118
SLC35A3	q03_odd_phrase	0.1614193	2	3	567	3130
SLC35A3	q04_inappropriate_question	0.5992004	0	5	556	3146
SLC35A3	q05_pronouns_mixed	1	1	4	863	2836
SLC35A3	q06_invented_words	1	1	4	610	3088
SLC35A3	q07_same_over	0.3898051	1	4	337	3360
SLC35A3	q08_particular_way	0.6181909	0	5	542	3295
SLC35A3	q09_expressions_appropriate	0.5872064	3	2	2952	887
SLC35A3	q10_hand_tool	1	1	4	565	3273
SLC35A3	q11_interest_preoccupy	1	0	5	231	3606
SLC35A3	q12_parts_object	1	0	5	252	3591
SLC35A3	q13_interests_intensity	0.6246877	0	5	521	3318
SLC35A3	q14_senses	1	0	5	311	3525
SLC35A3	q15_odd_ways	1	0	5	232	3608
SLC35A3	q16_complicated_movements	0.3728136	1	4	343	3495
SLC35A3	q17_injured_deliberately	1	0	5	296	3540
SLC35A3	q18_objects_carry	1	0	5	372	3465
SLC35A3	q19_best_friend	0.3673163	5	0	3036	811
SLC35A3	q20_talk_friendly	1	5	0	3576	255
SLC35A3	q21_copy_you	0.6271864	5	0	3283	554
SLC35A3	q22_point_things	1	4	1	3432	397
SLC35A3	q23_gestures_wanted	1	4	1	2912	922
SLC35A3	q24_nod_head	1	5	0	3572	259
SLC35A3	q25_shake_head	1	5	0	3602	233
SLC35A3	q26_look_directly	0.0189905	3	2	3656	170
SLC35A3	q27_smile_back	1	5	0	3727	102
SLC35A3	q28_things_interested	1	5	0	3754	73
SLC35A3	q29_share	0.2373813	4	1	3625	203
SLC35A3	q30_join_enjoyment	1	5	0	3725	88
SLC35A3	q31_comfort	1	5	0	3569	253
SLC35A3	q32_help_attention	1	5	0	3657	164
SLC35A3	q33_range_expressions	1	5	0	3758	63
SLC35A3	q34_copy_actions	1	5	0	3588	239
SLC35A3	q35_make_believe	1	5	0	3622	198
SLC35A3	q36_same_age	1	5	0	3615	213
SLC35A3	q37_respond_positively	1	5	0	3659	167
SLC35A3	q38_pay_attention	1	5	0	3606	214
SLC35A3	q39_imaginative_games	1	5	0	3481	344
SLC35A3	q40_cooperatively_games	1	5	0	3586	246
AMHR2	q01_phrases	1	15	0	3720	115
AMHR2	q02_conversation	1	15	0	3571	118
AMHR2	q03_odd_phrase	1	2	13	567	3120
AMHR2	q04_inappropriate_question	1	2	13	554	3138
AMHR2	q05_pronouns_mixed	0.06546727	0	15	864	2825
AMHR2	q06_invented_words	1	2	13	609	3079
AMHR2	q07_same_over	0.6371814	2	13	336	3351
AMHR2	q08_particular_way	1	2	13	540	3287
AMHR2	q09_expressions_appropriate	0.03498251	8	7	2947	882
AMHR2	q10_hand_tool	0.4952524	1	14	565	3263
AMHR2	q11_interest_preoccupy	0.2178911	2	13	229	3598
AMHR2	q12_parts_object	0.2803598	2	13	250	3583
AMHR2	q13_interests_intensity	0.7101449	3	12	518	3311
AMHR2	q14_senses	0.4097951	0	15	311	3515
AMHR2	q15_odd_ways	0.6416792	0	15	232	3598
AMHR2	q16_complicated_movements	0.6461769	2	13	342	3486
AMHR2	q17_injured_deliberately	0.4022989	0	15	296	3530
AMHR2	q18_objects_carry	0.1764118	3	12	369	3458
AMHR2	q19_best_friend	1	12	3	3029	808
AMHR2	q20_talk_friendly	1	14	1	3567	254
AMHR2	q21_copy_you	0.4917541	14	1	3274	553
AMHR2	q22_point_things	0.02098951	10	5	3426	393
AMHR2	q23_gestures_wanted	0.7621189	12	3	2904	920
AMHR2	q24_nod_head	0.6216892	13	2	3564	257
AMHR2	q25_shake_head	0.6186907	15	0	3592	233
AMHR2	q26_look_directly	1	14	1	3645	171
AMHR2	q27_smile_back	1	14	0	3718	102
AMHR2	q28_things_interested	1	15	0	3744	73
AMHR2	q29_share	0.6301849	15	0	3614	204
AMHR2	q30_join_enjoyment	1	15	0	3715	88
AMHR2	q31_comfort	0.6016992	15	0	3559	253
AMHR2	q32_help_attention	1	14	1	3648	163
AMHR2	q33_range_expressions	1	15	0	3748	63
AMHR2	q34_copy_actions	0.6311844	15	0	3578	239
AMHR2	q35_make_believe	1	14	1	3613	197
AMHR2	q36_same_age	1	14	1	3606	212
AMHR2	q37_respond_positively	1	14	1	3650	166
AMHR2	q38_pay_attention	0.6396802	15	0	3596	214
AMHR2	q39_imaginative_games	1	14	1	3472	343
AMHR2	q40_cooperatively_games	1	14	1	3577	245
NUP35	q01_phrases	0.2508746	9	1	3726	114
NUP35	q02_conversation	1	9	0	3577	118
NUP35	q03_odd_phrase	0.6431784	2	7	567	3126
NUP35	q04_inappropriate_question	1	1	8	555	3143
NUP35	q05_pronouns_mixed	0.6786607	3	6	861	2834
NUP35	q06_invented_words	1	1	8	610	3084
NUP35	q07_same_over	0.6076962	0	9	338	3355
NUP35	q08_particular_way	1	1	9	541	3291
NUP35	q09_expressions_appropriate	0.7046477	7	3	2948	886
NUP35	q10_hand_tool	1	1	9	565	3268
NUP35	q11_interest_preoccupy	1	1	9	230	3602
NUP35	q12_parts_object	1	1	9	251	3587
NUP35	q13_interests_intensity	1	1	9	520	3314
NUP35	q14_senses	1	1	9	310	3521
NUP35	q15_odd_ways	1	1	9	231	3604
NUP35	q16_complicated_movements	0.2228886	2	8	342	3491
NUP35	q17_injured_deliberately	1	1	9	295	3536
NUP35	q18_objects_carry	1	1	9	371	3461
NUP35	q19_best_friend	0.4877561	9	1	3032	810
NUP35	q20_talk_friendly	1	9	1	3572	254
NUP35	q21_copy_you	0.3783108	10	0	3278	554
NUP35	q22_point_things	0.3958021	10	0	3426	398
NUP35	q23_gestures_wanted	0.4707646	9	1	2907	922
NUP35	q24_nod_head	1	9	1	3568	258
NUP35	q25_shake_head	1	9	1	3598	232
NUP35	q26_look_directly	0.3693153	9	1	3650	171
NUP35	q27_smile_back	0.2378811	9	1	3723	101
NUP35	q28_things_interested	1	10	0	3749	73
NUP35	q29_share	1	9	1	3620	203
NUP35	q30_join_enjoyment	1	10	0	3720	88
NUP35	q31_comfort	0.6571714	10	0	3564	253
NUP35	q32_help_attention	0.3673163	9	1	3653	163
NUP35	q33_range_expressions	1	10	0	3753	63
NUP35	q34_copy_actions	0.6681659	10	0	3583	239
NUP35	q35_make_believe	0.6656672	10	0	3617	198
NUP35	q36_same_age	1	9	1	3611	212
NUP35	q37_respond_positively	1	10	0	3654	167
NUP35	q38_pay_attention	0.6686657	10	0	3601	214
NUP35	q39_imaginative_games	1	9	1	3477	343
NUP35	q40_cooperatively_games	1	9	1	3582	245
DAZL	q01_phrases	0.1584208	4	1	3731	114
DAZL	q02_conversation	1	4	0	3582	118
DAZL	q03_odd_phrase	0.6356822	0	4	569	3129
DAZL	q04_inappropriate_question	1	1	3	555	3148
DAZL	q05_pronouns_mixed	0.2313843	2	2	862	2838
DAZL	q06_invented_words	1	1	3	610	3089
DAZL	q07_same_over	0.3143428	1	3	337	3361
DAZL	q08_particular_way	1	1	4	541	3296
DAZL	q09_expressions_appropriate	0.6011994	3	2	2952	887
DAZL	q10_hand_tool	1	1	4	565	3273
DAZL	q11_interest_preoccupy	0.2578711	1	4	230	3607
DAZL	q12_parts_object	0.04647676	2	3	250	3593
DAZL	q13_interests_intensity	0.1334333	2	3	519	3320
DAZL	q14_senses	0.3363318	1	4	310	3526
DAZL	q15_odd_ways	0.2753623	1	4	231	3609
DAZL	q16_complicated_movements	0.3893053	1	4	343	3495
DAZL	q17_injured_deliberately	0.3268366	1	4	295	3541
DAZL	q18_objects_carry	0.4132934	1	4	371	3466
DAZL	q19_best_friend	0.5752124	3	2	3038	809
DAZL	q20_talk_friendly	0.2898551	4	1	3577	254
DAZL	q21_copy_you	0.02798601	2	3	3286	551
DAZL	q22_point_things	1	4	1	3432	397
DAZL	q23_gestures_wanted	0.5927036	3	2	2913	921
DAZL	q24_nod_head	0.2753623	4	1	3573	258
DAZL	q25_shake_head	0.2833583	4	1	3603	232
DAZL	q26_look_directly	0.2108946	4	1	3655	171
DAZL	q27_smile_back	0.1229385	4	1	3728	101
DAZL	q28_things_interested	0.09545227	4	1	3755	72
DAZL	q29_share	0.2393803	4	1	3625	203
DAZL	q30_join_enjoyment	0.107946	4	1	3726	87
DAZL	q31_comfort	0.3048476	4	1	3570	252
DAZL	q32_help_attention	0.2078961	4	1	3658	163
DAZL	q33_range_expressions	0.07946027	4	1	3759	62
DAZL	q34_copy_actions	0.2553723	4	1	3589	238
DAZL	q35_make_believe	0.2218891	4	1	3623	197
DAZL	q36_same_age	0.2433783	4	1	3616	212
DAZL	q37_respond_positively	0.2003998	4	1	3660	166
DAZL	q38_pay_attention	0.03348326	3	2	3608	212
DAZL	q39_imaginative_games	0.3583208	4	1	3482	343
DAZL	q40_cooperatively_games	0.2718641	4	1	3587	245
DRGX	q01_phrases	0.3328336	12	1	3723	114
DRGX	q02_conversation	1	12	0	3574	118
DRGX	q03_odd_phrase	0.7006497	1	11	568	3122
DRGX	q04_inappropriate_question	1	2	10	554	3141
DRGX	q05_pronouns_mixed	0.1629185	5	7	859	2833
DRGX	q06_invented_words	1	2	10	609	3082
DRGX	q07_same_over	0.3998001	0	12	338	3352
DRGX	q08_particular_way	0.7141429	1	12	541	3288
DRGX	q09_expressions_appropriate	0.5597201	11	2	2944	887
DRGX	q10_hand_tool	0.4282859	3	10	563	3267
DRGX	q11_interest_preoccupy	0.6281859	0	13	231	3598
DRGX	q12_parts_object	0.6231884	0	13	252	3583
DRGX	q13_interests_intensity	0.4062969	3	10	518	3313
DRGX	q14_senses	0.6251874	2	11	309	3519
DRGX	q15_odd_ways	1	1	12	231	3601
DRGX	q16_complicated_movements	1	1	12	343	3487
DRGX	q17_injured_deliberately	1	1	12	295	3533
DRGX	q18_objects_carry	1	1	12	371	3458
DRGX	q19_best_friend	0.7636182	11	2	3030	809
DRGX	q20_talk_friendly	1	12	1	3569	254
DRGX	q21_copy_you	0.6881559	12	1	3276	553
DRGX	q22_point_things	0.1404298	10	3	3426	395
DRGX	q23_gestures_wanted	1	10	3	2906	920
DRGX	q24_nod_head	1	12	1	3565	258
DRGX	q25_shake_head	1	12	1	3595	232
DRGX	q26_look_directly	0.6481759	13	0	3646	172
DRGX	q27_smile_back	1	13	0	3719	102
DRGX	q28_things_interested	1	13	0	3746	73
DRGX	q29_share	0.6326837	13	0	3616	204
DRGX	q30_join_enjoyment	0.2743628	12	1	3718	87
DRGX	q31_comfort	0.6461769	13	0	3561	253
DRGX	q32_help_attention	1	12	1	3650	163
DRGX	q33_range_expressions	1	13	0	3750	63
DRGX	q34_copy_actions	0.6141929	13	0	3580	239
DRGX	q35_make_believe	0.6186907	13	0	3614	198
DRGX	q36_same_age	0.6451774	13	0	3607	213
DRGX	q37_respond_positively	0.6616692	13	0	3651	167
DRGX	q38_pay_attention	0.6366817	13	0	3598	214
DRGX	q39_imaginative_games	0.4197901	13	0	3473	344
DRGX	q40_cooperatively_games	0.6366817	13	0	3578	246
OLAH	q01_phrases	0.1174413	18	2	3717	113
OLAH	q02_conversation	0.6681659	18	0	3568	118
OLAH	q03_odd_phrase	0.3478261	1	17	568	3116
OLAH	q04_inappropriate_question	0.7721139	2	16	554	3135
OLAH	q05_pronouns_mixed	0.2848576	2	16	862	2824
OLAH	q06_invented_words	0.09095452	0	18	611	3074
OLAH	q07_same_over	0.2343828	0	18	338	3346
OLAH	q08_particular_way	0.1049475	0	20	542	3280
OLAH	q09_expressions_appropriate	0.7736132	16	4	2939	885
OLAH	q10_hand_tool	0.7621189	2	18	564	3259
OLAH	q11_interest_preoccupy	1	1	18	230	3593
OLAH	q12_parts_object	1	1	19	251	3577
OLAH	q13_interests_intensity	1	3	17	518	3306
OLAH	q14_senses	0.2523738	0	20	311	3510
OLAH	q15_odd_ways	0.6301849	2	17	230	3596
OLAH	q16_complicated_movements	1	2	18	342	3481
