tissue  percent_allgenes_expressed      percent_MESgenes_expressed      difference      p_val   mean_allgene_expression_sim     sd_allgene_expression_sim
amygdala 	 0.7783454 	 0.8041237 	 0.02577831 	0.2931926 	 0.7799632 	 0.04440606 
angulargyrus 	 0.7736336 	 0.8041237 	 0.03049014 	0.2360614 	 0.7766653 	 0.03818822 
angulargyrus(whitematter) 	 0.7645571 	 0.7835052 	 0.01894807 	0.2589078 	 0.7575153 	 0.04018748 
anteriorcingulatecortex,supragenual-dorsal 	 0.7764111 	 0.814433 	 0.03802192 	0.1329572 	 0.7709405 	 0.03909369 
anteriorcingulatecortex,supragenual-ventral 	 0.7739312 	 0.8041237 	 0.03019255 	0.2682807 	 0.7784916 	 0.04147449 
anteriorcochlearnucleus,ventral 	 0.7799821 	 0.814433 	 0.03445085 	0.1719805 	 0.774105 	 0.04261345 
anteriorfuniculus(whitematter) 	 0.768029 	 0.7835052 	 0.01547619 	0.312992 	 0.760332 	 0.04754574 
anteriorinsularcortex,dorsal 	 0.7820157 	 0.8041237 	 0.02210804 	0.2939866 	 0.7828729 	 0.03922435 
anteriorinsularcortex,ventral 	 0.7729392 	 0.8041237 	 0.03118452 	0.1501412 	 0.7671502 	 0.03569463 
anteriorthalamicnucleus,ventral 	 0.7744271 	 0.7938144 	 0.01938729 	0.2799062 	 0.7701127 	 0.04064635 
arcuatenucleus 	 0.7767583 	 0.814433 	 0.03767473 	0.1644577 	 0.7753471 	 0.04003463 
areaparastriata,inferior 	 0.7730384 	 0.7938144 	 0.02077604 	0.2952696 	 0.7680844 	 0.04782053 
areaparastriata,parietal 	 0.7764111 	 0.8041237 	 0.02771264 	0.2679356 	 0.7800894 	 0.03882332 
areaparastriata,superior 	 0.7769071 	 0.8350515 	 0.05814449 	0.06019938 	 0.7771382 	 0.03728881 
areaparastriata,temporal 	 0.7707073 	 0.7938144 	 0.02310716 	0.2972963 	 0.7735609 	 0.03805675 
areapostrema 	 0.778891 	 0.7731959 	 -0.005695107 	0.5934528 	 0.783286 	 0.04267598 
areastriata 	 0.7780974 	 0.8041237 	 0.0260263 	0.258479 	 0.7781254 	 0.04011828 
areastriata(whitematter) 	 0.7627716 	 0.8041237 	 0.04135216 	0.1845123 	 0.7603314 	 0.04875014 
basalamygdala 	 0.7803293 	 0.814433 	 0.03410366 	0.1732355 	 0.7774906 	 0.0392396 
caudatenucleus 	 0.7765103 	 0.8041237 	 0.02761344 	0.2850778 	 0.7776379 	 0.04664453 
centralamygdala 	 0.7780974 	 0.8350515 	 0.05695414 	0.07566114 	 0.7806927 	 0.03788402 
centromedialthalamicnucleus 	 0.7726416 	 0.7938144 	 0.02117283 	0.3331592 	 0.777327 	 0.03823573 
cerebellarcortex 	 0.7624244 	 0.7731959 	 0.01077151 	0.3979313 	 0.7624627 	 0.04148823 
cerebellarnuclei 	 0.768277 	 0.7938144 	 0.02553748 	0.3297191 	 0.7745171 	 0.04378891 
cerebellarwhitematter 	 0.7585557 	 0.7628866 	 0.004330899 	0.4223728 	 0.7544114 	 0.04327902 
cervicalspinalcord,centralgray 	 0.7784942 	 0.814433 	 0.03593879 	0.215796 	 0.7762156 	 0.04859355 
cervicalspinalcord,dorsalhorn 	 0.7746255 	 0.7835052 	 0.008879621 	0.4509919 	 0.7782975 	 0.04228477 
cervicalspinalcord,ventralhorn 	 0.7751711 	 0.814433 	 0.03926188 	0.1498597 	 0.7700181 	 0.04282874 
choroidplexus 	 0.7737824 	 0.7835052 	 0.009722792 	0.4265413 	 0.7761241 	 0.03985756 
claustrum 	 0.7748239 	 0.7938144 	 0.01899051 	0.2830428 	 0.7707206 	 0.04024537 
corpuscallosum,genu(whitematter) 	 0.76173 	 0.742268 	 -0.01946195 	0.7570196 	 0.7658163 	 0.03379745 
corpuscallosum,splenium(whitematter) 	 0.7648051 	 0.7525773 	 -0.01222776 	0.6847714 	 0.7733785 	 0.04323828 
